,Name,Indian rupee
303,2004-03-31,18270.1
304,2004-04-30,17697.8
305,2004-05-31,17331.1
306,2004-06-30,17842.5
307,2004-07-30,18313.2
308,2004-08-31,18543.6
309,2004-09-30,18660.0
310,2004-10-29,19229.4
311,2004-11-30,19796.1
312,2004-12-31,19417.4
313,2005-01-31,18523.0
314,2005-02-28,18481.5
315,2005-03-31,18957.7
316,2005-04-29,18760.7
317,2005-05-31,18341.2
318,2005-06-30,18757.9
319,2005-07-29,18460.4
320,2005-08-31,19085.3
321,2005-09-30,20011.1
322,2005-10-31,21049.6
323,2005-11-30,21769.3
324,2005-12-30,23298.0
325,2006-01-31,24324.0
326,2006-02-28,24565.6
327,2006-03-31,24750.2
328,2006-04-28,27413.1
329,2006-05-31,30618.5
330,2006-06-30,27435.6
331,2006-07-31,29447.3
332,2006-08-31,29436.7
333,2006-09-29,27583.2
334,2006-10-31,26628.0
335,2006-11-30,28147.2
336,2006-12-29,28116.5
337,2007-01-31,27961.2
338,2007-02-28,29348.2
339,2007-03-30,28785.0
340,2007-04-30,28611.5
341,2007-05-31,27238.3
342,2007-06-29,26735.6
343,2007-07-31,26890.0
344,2007-08-31,27161.7
345,2007-09-28,28735.7
346,2007-10-31,29824.5
347,2007-11-30,31812.3
348,2007-12-31,31693.9
349,2008-01-31,35020.6
350,2008-02-29,36671.0
351,2008-03-31,39065.6
352,2008-04-30,36432.1
353,2008-05-30,37481.1
354,2008-06-30,38110.9
355,2008-07-31,40263.1
356,2008-08-29,36050.1
357,2008-09-30,37866.6
358,2008-10-31,39183.3
359,2008-11-28,37325.9
360,2008-12-31,39753.9
361,2009-01-30,41983.4
362,2009-02-27,46533.0
363,2009-03-31,47388.4
364,2009-04-30,44625.9
365,2009-05-29,45105.7
366,2009-06-30,45177.4
367,2009-07-31,45262.5
368,2009-08-31,45883.5
369,2009-09-30,48224.3
370,2009-10-30,48744.7
371,2009-11-30,52490.1
372,2009-12-31,52883.4
373,2010-01-29,51342.6
374,2010-02-26,50761.8
375,2010-03-31,50672.4
376,2010-04-30,51111.1
377,2010-05-31,55372.2
378,2010-06-30,57418.5
379,2010-07-30,55867.6
380,2010-08-31,56639.7
381,2010-09-30,58462.6
382,2010-10-29,59610.4
383,2010-11-30,61638.0
384,2010-12-31,62781.7
385,2011-01-31,61660.9
386,2011-02-28,62371.6
387,2011-03-31,64040.4
388,2011-04-29,65436.9
389,2011-05-31,67905.2
390,2011-06-30,68549.9
391,2011-07-29,69851.1
392,2011-08-31,79635.9
393,2011-09-30,84349.6
394,2011-10-31,82053.6
395,2011-11-30,88268.3
396,2011-12-30,86615.9
397,2012-01-31,84587.2
398,2012-02-29,85728.0
399,2012-03-30,84334.4
400,2012-04-30,85476.4
401,2012-05-31,86363.4
402,2012-06-29,89590.7
403,2012-07-31,88374.5
404,2012-08-31,90330.0
405,2012-09-28,95072.2
406,2012-10-31,92757.8
407,2012-11-30,94419.6
408,2012-12-31,92222.1
409,2013-01-31,90658.5
410,2013-02-28,87618.3
411,2013-03-29,86693.1
412,2013-04-30,80775.6
413,2013-05-31,77722.1
414,2013-06-28,78302.7
415,2013-07-31,76948.9
416,2013-08-30,84743.9
417,2013-09-30,86135.0
418,2013-10-31,81132.9
419,2013-11-29,79891.0
420,2013-12-31,75805.8
421,2014-01-31,77315.8
422,2014-02-28,80958.3
423,2014-03-31,81442.0
424,2014-04-30,78376.9
425,2014-05-30,76425.3
426,2014-06-30,76433.5
427,2014-07-31,78752.5
428,2014-08-29,78909.9
429,2014-09-30,75404.8
430,2014-10-31,75051.9
431,2014-11-28,72587.2
432,2014-12-31,75304.6
433,2015-01-30,77801.2
434,2015-02-27,76152.6
435,2015-03-31,73637.5
436,2015-04-30,75179.9
437,2015-05-29,76494.1
438,2015-06-30,75441.4
439,2015-07-31,71923.8
440,2015-08-31,72670.6
441,2015-09-30,74480.3
442,2015-10-30,75445.7
443,2015-11-30,71858.4
444,2015-12-31,71185.8
445,2016-01-29,73942.7
446,2016-02-29,81885.8
447,2016-03-31,83482.8
448,2016-04-29,82588.6
449,2016-05-31,84298.9
450,2016-06-30,85902.0
451,2016-07-29,89877.3
452,2016-08-31,89730.0
453,2016-09-30,88533.3
454,2016-10-31,84510.0
455,2016-11-30,83514.2
456,2016-12-30,78132.7
457,2017-01-31,81224.6
458,2017-02-28,82740.7
459,2017-03-31,81075.7
460,2017-04-28,81675.7
461,2017-05-31,80241.9
462,2017-06-30,81223.0
463,2017-07-31,79679.7
464,2017-08-31,82041.5
465,2017-09-29,84755.7
466,2017-10-31,83256.2
467,2017-11-30,83181.1
468,2017-12-29,81106.3
469,2018-01-31,84741.3
470,2018-02-28,85757.5
471,2018-03-30,86188.7
472,2018-04-30,87713.1
473,2018-05-31,88017.0
474,2018-06-29,86888.1
475,2018-07-31,85122.9
476,2018-08-31,83631.9
