Date,Price 
20-04-2018,3144
19-04-2018,3160
18-04-2018,3154
17-04-2018,3139
16-04-2018,3130
15-04-2018,3112
14-04-2018,3112
13-04-2018,3111
12-04-2018,3101
11-04-2018,3135
10-04-2018,3086
09-04-2018,3076
08-04-2018,3069
07-04-2018,3069
06-04-2018,3070
05-04-2018,3035
04-04-2018,3072
03-04-2018,3064
02-04-2018,3096
01-04-2018,3041
31-05-2018,3087
30-05-2018,3104
29-05-2018,3118
28-05-2018,3097
27-05-2018,3119
26-05-2018,3119
25-05-2018,3118
24-05-2018,3148
23-05-2018,3119
22-05-2018,3111
21-05-2018,3112
20-05-2018,3109
19-05-2018,3109
18-05-2018,3108
17-05-2018,3098
16-05-2018,3100
15-05-2018,3117
14-05-2018,3149
13-05-2018,3152
12-05-2018,3152
11-05-2018,3153
10-05-2018,3136
09-05-2018,3130
08-05-2018,3123
07-05-2018,3126
06-05-2018,3111
05-05-2018,3111
04-05-2018,3112
03-05-2018,3105
02-05-2018,3093
01-05-2018,3091
30-06-2018,3043
29-06-2018,3043
28-06-2018,3049
27-06-2018,3069
26-06-2018,3055
25-06-2018,3065
24-06-2018,3061
23-06-2018,3061
22-06-2018,3062
21-06-2018,3062
20-06-2018,3077
19-06-2018,3088
18-06-2018,3099
17-06-2018,3101
16-06-2018,3101
15-06-2018,3101
14-06-2018,3139
13-06-2018,3114
12-06-2018,3116
11-06-2018,3122
10-06-2018,3122
09-06-2018,3122
08-06-2018,3122
07-06-2018,3119
06-06-2018,3085
05-06-2018,3068
04-06-2018,3060
03-06-2018,3055
02-06-2018,3055
01-06-2018,3055
31-07-2018,2971
30-07-2018,2974
29-07-2018,2977
28-07-2018,2977
27-07-2018,2978
26-07-2018,2978
25-07-2018,2992
24-07-2018,2984
23-07-2018,2986
22-07-2018,2990
21-07-2018,2990
20-07-2018,2990
19-07-2018,2988
18-07-2018,2976
17-07-2018,2974
16-07-2018,3009
15-07-2018,3011
14-07-2018,3011
13-07-2018,3010
12-07-2018,3015
11-07-2018,3030
10-07-2018,3053
09-07-2018,3062
08-07-2018,3056
07-07-2018,3056
06-07-2018,3056
05-07-2018,3064
04-07-2018,3062
03-07-2018,3050
02-07-2018,3029
01-07-2018,3043
31-08-2018,3031
30-08-2018,3023
29-08-2018,3010
28-08-2018,3007
27-08-2018,3005
26-08-2018,2989
25-08-2018,2989
24-08-2018,2980
23-08-2018,2964
22-08-2018,2970
21-08-2018,2958
20-08-2018,2946
19-08-2018,2935
18-08-2018,2935
17-08-2018,2940
16-08-2018,2942
15-08-2018,2973
14-08-2018,2980
13-08-2018,2982
12-08-2018,2979
11-08-2018,2979
10-08-2018,2978
09-08-2018,2949
08-08-2018,2949
07-08-2018,2949
06-08-2018,2949
05-08-2018,2948
04-08-2018,2948
03-08-2018,2948
02-08-2018,2945
01-08-2018,2946
30-09-2018,3051
29-09-2018,3051
28-09-2018,3050
27-09-2018,3033
26-09-2018,3060
25-09-2018,3083
24-09-2018,3084
23-09-2018,3057
22-09-2018,3057
21-09-2018,3058
20-09-2018,3060
19-09-2018,3092
18-09-2018,3086
17-09-2018,3076
16-09-2018,3043
15-09-2018,3043
14-09-2018,3061
13-09-2018,3050
12-09-2018,3047
11-09-2018,3072
10-09-2018,3066
09-09-2018,3051
08-09-2018,3051
07-09-2018,3042
06-09-2018,3066
05-09-2018,3034
04-09-2018,3025
03-09-2018,3024
02-09-2018,3014
01-09-2018,3014
31-10-2018,3174
30-10-2018,3183
29-10-2018,3189
28-10-2018,3193
27-10-2018,3193
26-10-2018,3195
25-10-2018,3185
24-10-2018,3191
23-10-2018,3207
22-10-2018,3189
21-10-2018,3191
20-10-2018,3191
19-10-2018,3191
18-10-2018,3209
17-10-2018,3187
16-10-2018,3187
15-10-2018,3207
14-10-2018,3184
13-10-2018,3184
12-10-2018,3182
11-10-2018,3200
10-10-2018,3138
09-10-2018,3127
08-10-2018,3122
07-10-2018,3165
06-10-2018,3165
05-10-2018,3105
04-10-2018,3100
03-10-2018,3100
02-10-2018,3059
01-10-2018,3057
15-11-2018,3079
14-11-2018,3073
13-11-2018,3078
12-11-2018,3101
11-11-2018,3102
10-11-2018,3102
09-11-2018,3101
08-11-2018,3139
07-11-2018,3158
06-11-2018,3165
05-11-2018,3173
04-11-2018,3176
03-11-2018,3176
02-11-2018,3175
01-11-2018,3187
