Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
31/12/1980,594.9,398.2,"1,24,946.0",253.7,712.9,1063.3,4705.2,0,594.9,0,1981.4,"3,72,789.8",2191,12193.5,0,0,"3,95,089.3",398.2,0,594.9,448.8,0,712.9,510.1
30/01/1981,557.4,380.4,"1,12,804.8",231.8,663.8,1015.5,4430,0,557.4,0,1858,"3,49,397.3",2048.5,11461.8,0,0,"3,65,942.3",380.4,0,557.4,417.5,0,663.8,472.3
27/02/1981,499.8,364.6,"1,03,241.8",217.9,601.2,978.3,4110.2,0,499.8,0,1672.7,"3,15,075.4",1846.2,10326,0,0,"3,43,626.8",364.6,0,499.8,388,0,601.2,431.7
31/03/1981,498.8,362.7,"1,04,319.8",223.3,594.9,960.1,4093.1,0,498.8,0,1670.6,"3,09,761.9",1815,10129.2,0,0,"3,31,019.4",362.7,0,498.8,394.9,0,594.9,429.3
30/04/1981,495.8,371.8,"1,06,571.4",227.6,590.9,979.1,4107.8,0,495.8,0,1665.1,"3,10,657.0",1822.5,10220.6,0,0,"3,43,587.5",371.8,0,495.8,402.4,0,590.9,430.5
29/05/1981,479.7,381.7,"1,06,059.3",229.8,576.6,993,4034,0,479.7,0,1621.3,"3,04,239.8",1777.1,9988,0,0,"3,33,923.1",381.7,0,479.7,402.6,0,576.6,421
30/06/1981,460.8,379.3,"1,03,252.4",233.4,553.9,955.4,3968.2,0,460.8,0,1565.4,"2,92,153.3",1744,9635.2,0,0,"3,29,168.7",379.3,0,460.8,399.5,0,553.9,403.5
31/07/1981,409.3,345.6,94977.3,218.3,495.2,857.9,3632.1,0,409.3,0,1397.4,"2,59,995.5",1519,8895.2,0,0,"2,88,074.3",345.6,0,409.3,376.8,0,495.2,358
31/08/1981,410.2,355.7,95704.3,225.3,501.8,889.9,3705,0,410.2,0,1401.9,"2,57,980.6",1503,9347.6,0,0,"2,85,034.9",355.7,0,410.2,389.6,0,501.8,360
30/09/1981,443.8,365.5,"1,01,783.1",244.4,532.4,898.5,4039.1,0,443.8,0,1515.8,"2,78,917.8",1626,10146.4,0,0,"3,08,812.4",365.5,0,443.8,420.1,0,532.4,386.2
30/10/1981,437.8,355.1,"1,01,182.9",237.7,526.2,823.7,3998.6,0,437.8,0,1494.8,"2,75,886.7",1606,10005.4,0,0,"2,94,256.2",355.1,0,437.8,418.2,0,526.2,382.7
30/11/1981,413.4,333.7,92357.6,217.4,491,737.6,3766.8,0,413.4,0,1413.7,"2,60,627.0",1512.7,9457.8,0,0,"2,75,135.7",333.7,0,413.4,397.9,0,491,361
31/12/1981,410.1,335.5,89639.3,215.3,486,744.2,3749.3,0,410.1,0,1403,"2,58,899.1",1509.2,9416.1,0,0,"2,90,364.4",335.5,0,410.1,397.5,0,486,361.5
29/01/1982,384.1,319.3,86326.3,203.6,458,708.6,3507,0,384.1,0,1313.7,"2,42,491.1",1417.5,8791.7,0,0,"2,72,239.4",319.3,0,384.1,370.9,0,458,344.9
26/02/1982,374.1,320.2,88211.4,202.6,454.1,708.8,3440.4,0,374.1,0,1280.5,"2,40,380.8",1379.4,8600.2,0,0,"2,69,699.2",320.2,0,374.1,367.1,0,454.1,345
31/03/1982,330.3,288.9,79645.7,182.8,403.1,623.7,3064.7,0,330.3,0,1129.5,"2,14,542.4",1214.9,7590.8,0,0,"2,37,031.3",288.9,0,330.3,337.2,0,403.1,311.6
30/04/1982,350.3,312.8,85434.5,197.8,428.9,687.5,3274.2,0,350.3,0,1199.8,"2,27,363.8",1281.6,7992.1,0,0,"2,53,268.7",312.8,0,350.3,368.8,0,428.9,332.9
31/05/1982,333.8,288.2,79283.4,184.4,412.5,652.6,3107,0,333.8,0,1147.8,"2,19,050.3",1233.9,7662.7,0,0,"2,39,277.3",288.2,0,333.8,356,0,412.5,315.6
30/06/1982,315,287.7,79099.8,179.2,401.1,654.3,2970,0,315,0,1079.9,"2,06,115.0",1157.6,7213.3,0,0,"2,34,991.2",287.7,0,315,351,0,401.1,304.8
30/07/1982,339,317.3,86107,195.3,428.9,707.6,3224.8,0,339,0,1162,"2,22,416.9",1244.5,7767.6,0,0,"2,51,382.6",317.3,0,339,387.4,0,428.9,334.2
31/08/1982,364.2,344.2,93958,210.8,452.3,765.8,3468.6,0,364.2,0,1250.9,"2,39,405.0",1331.4,8295.5,0,0,"2,70,972.4",344.2,0,364.2,417.6,0,452.3,371
30/09/1982,437.3,418,"1,15,172.3",255.3,541.2,937.3,4223.6,0,437.3,0,1508.3,"2,91,975.6",1611.1,10051.2,0,0,"3,29,230.5",418,0,437.3,503.9,0,541.2,456.8
29/10/1982,422.2,410.7,"1,14,652.9",248.7,519.9,917.9,4094,0,422.2,0,1454.9,"2,85,618.0",1553.4,9675.2,0,0,"3,13,452.5",410.7,0,422.2,489.9,0,519.9,447.9
30/11/1982,414.9,412.4,"1,09,638.1",254,508.8,910.3,4050.1,0,414.9,0,1427.5,"2,83,791.5",1527.4,9512.2,0,0,"3,16,916.9",412.4,0,414.9,472.8,0,508.8,440.1
31/12/1982,444.3,428.9,"1,08,127.7",274.6,549.1,914.7,4296.4,0,444.3,0,1526.1,"3,03,109.8",1625.1,10126.6,0,0,"3,31,485.5",428.9,0,444.3,482.5,0,549.1,459.8
31/01/1983,481.3,455.7,"1,12,746.3",306.1,593.6,951,4734.4,0,481.3,0.1,1661.7,"3,38,064.1",1784.8,11118.9,0,0,"3,72,926.0",455.7,0,481.3,514.8,0,593.6,492
28/02/1983,491.2,472.5,"1,16,692.8",320.6,605.7,996.9,4880.2,0,491.2,0.1,1698.8,"3,44,358.7",1811.5,11289,0,0,"3,89,136.0",472.5,0,491.2,541.5,0,605.7,510.3
31/03/1983,419.7,408.5,"1,00,267.5",281.7,515.7,869.2,4183.6,0,419.7,0.1,1448.1,"2,95,741.3",1551.6,9637,0,0,"3,22,000.9",408.5,0,419.7,458.8,0,515.7,476.5
29/04/1983,432.9,430.7,"1,02,951.2",280.7,533.5,890.9,4309,0,432.9,0.1,1494,"4,17,210.3",1582.7,9862.2,0,0,"3,19,074.1",430.7,0,432.9,473.4,0,533.5,498.8
31/05/1983,438,440.6,"1,02,665.1",278.5,537.6,900.6,4365,0,438,0.1,1509.7,"4,22,184.5",1598.7,9976.4,0,0,"3,33,815.3",440.6,0,438,473.5,0,537.6,497.4
30/06/1983,412.8,428.4,99216.1,266.8,508.9,872.4,4153.3,0,412.8,0.1,1428.5,"4,05,299.4",1527.2,9510.1,0,0,"3,29,646.0",428.4,0,412.8,451.2,0,508.9,471.4
29/07/1983,422.7,448,"1,01,689.0",276.7,520.6,895.7,4255.1,0,422.7,0.1,1460.7,"4,13,270.1",1552.8,9711.3,0,0,"3,28,822.8",448,0,422.7,463.5,0,520.6,482.7
31/08/1983,416.2,456.5,"1,01,763.8",277,513.3,900.5,4230.6,0,416.2,0.1,1443.1,"4,08,735.8",1529.1,9534.8,0,0,"3,29,694.0",456.5,0,416.2,464.5,0,513.3,473
30/09/1983,411.8,451.6,"1,00,023.3",274.7,507.9,892.1,4204.6,0,411.8,0.1,1433.7,"4,06,774.0",1517.1,9470.8,0,0,"3,24,616.3",451.6,0,411.8,458.9,0,507.9,464.5
31/10/1983,393.6,425.1,91828.9,262.8,485.4,832.9,4021.9,0,393.6,0.1,1372.3,"3,88,213.9",1450.1,9032.6,0,0,"3,11,055.0",425.1,0,393.6,443.3,0,485.4,431.1
30/11/1983,381.7,423.9,89615.3,258.4,471.1,827.6,3949.9,0,381.7,0.1,1327,"3,76,834.7",1402.6,8753.4,0,0,"3,05,636.9",423.9,0,381.7,451.8,0,471.1,415.9
30/12/1983,388.3,442,91035.6,270.9,483.8,853.3,4063.4,0,388.3,0.1,1352.7,"3,85,881.7",1425.7,8900.9,0,0,"3,15,863.5",442,0,388.3,472.7,0,483.8,430.3
31/01/1984,370.9,431.5,86694.6,263.3,462.9,829.6,3966.9,0,370.9,0.1,1300.4,"3,70,075.2",1361.1,8528.9,0,0,"3,03,476.2",431.5,0,370.9,465.2,0,462.9,408.8
29/02/1984,385.9,434.8,90242.8,267.9,481.9,852,4129.8,0,385.9,0.1,1353.4,"3,80,809.4",1408.4,8792,0,0,"3,00,948.3",434.8,0,385.9,474.4,0,481.9,412.5
30/03/1984,394.3,428.6,88946.1,270.7,501,848.4,4228.2,0,394.3,0.1,1387.8,"3,93,124.4",1450,9056.8,0,0,"3,19,992.4",428.6,0,394.3,480.4,0,501,414.8
30/04/1984,381.4,420.6,85915,268.1,487.8,835.5,4116.2,0,381.4,0.1,1343.8,"3,83,417.2",1384.8,8775.1,0,0,"3,05,835.4",420.6,0,381.4,475.6,0,487.8,412.9
31/05/1984,377.4,431.4,87039.6,271.5,487.9,855.6,4139.7,0,377.4,0.1,1327,"3,80,951.0",1387.8,8677.2,0,0,"3,02,492.9",431.4,0,377.4,482.2,0,487.9,416.4
29/06/1984,377.7,431.2,88305.1,274.3,493,863.3,4173.9,0,377.7,0.1,1329.3,"3,83,516.5",1394.2,8697.6,0,0,"3,03,672.2",431.2,0,377.7,494.6,0,493,428.6
31/07/1984,347.5,411.7,84343.3,262.9,459.6,836.7,3934.7,0,347.5,0.1,1220.7,"3,54,973.3",1278.3,7975.4,0,0,"2,86,285.4",411.7,0,347.5,521.5,0,459.6,415.9
31/08/1984,347.7,418.2,84246.8,264.8,452.8,840.2,4003.5,0,347.7,0.1,1225.9,"3,59,938.5",1281,7974.8,0,0,"2,80,854.4",418.2,0,347.7,545.8,0,452.8,410.8
28/09/1984,341.1,428.6,83505,270.8,447.5,851.4,4016.6,0,341.1,0.1,1208.1,"3,63,434.4",1268.5,7867.2,0,0,"2,85,668.5",428.6,0,341.1,565.2,0,447.5,409.6
31/10/1984,340.2,434.3,83910.9,278.7,448.4,858.1,4070.5,0,340.2,0.1,1210.3,"3,60,816.0",1246.2,7782.2,0,0,"2,80,507.6",434.3,0,340.2,600,0,448.4,406.7
30/11/1984,341.2,425.5,83166.5,274.9,449.9,842.3,4105.2,0,341.2,0.1,1216.6,"3,63,666.6",1253.2,8971.8,0,0,"2,74,605.7",425.5,0,341.2,614.5,0,449.9,398
31/12/1984,320.2,411.5,79194,269.1,421.9,817.4,3908.7,0,320.2,0.1,1139.6,"3,40,807.9",1177.5,8482,0,0,"2,64,186.0",411.5,0,320.2,603.2,0,421.9,379.9
31/01/1985,302.8,398.2,76938.4,268.6,401.2,804.8,3813.3,855.2,302.8,0.1,1085.8,"3,28,331.8",1114.2,8163.7,0,0,"2,57,388.7",398.2,0,302.8,657.5,855.2,401.2,371.9
28/02/1985,299.1,409.7,78095.2,273.6,405.3,840.4,3869.6,851.6,299.1,0.1,1076.1,"3,27,440.6",1100.4,8258.1,0,0,"2,57,242.2",409.7,0,299.1,589.2,851.6,405.3,406.5
29/03/1985,303.9,417.9,78114.5,270,418.9,847.9,3856.6,845.6,303.9,0.1,1090.8,"3,25,956.8",1091.5,8222.1,0,0,"2,46,917.0",417.9,0,303.9,599.1,845.6,418.9,433.9
30/04/1985,325.3,420.9,81673.9,262.1,443,840,4005.6,927.8,325.3,0.2,1175.9,"3,61,563.6",1200.8,8842.4,0,0,"2,75,774.2",420.9,0,325.3,628.6,927.8,443,493
31/05/1985,316.4,411.9,79549.6,252.8,434.9,825.9,3917.7,895.1,316.4,0.2,1141.6,"3,51,202.3",1160.1,8568.9,0,0,"2,72,523.2",411.9,0,316.4,627,895.1,434.9,466.3
28/06/1985,316.5,407.4,78758.7,247,432.6,813.6,3910,900.3,316.5,0.2,1151.6,"3,50,789.8",1160.8,8562.2,0,0,"2,77,067.9",407.4,0,316.5,623.7,900.3,432.6,474.6
31/07/1985,317.2,390.8,76493.2,230.2,429,764.1,3800.5,903.3,317.2,0.2,1157.5,"3,51,229.6",1153.1,8431.6,0,0,"2,64,439.3",390.8,0,317.2,619.9,903.3,429,454.1
30/08/1985,329.8,394,78237.6,238.3,447.4,757,3918.4,959,329.8,0.2,1203.3,"3,70,943.4",1217.8,8764.2,0,0,"2,94,145.9",394,0,329.8,769.9,959,447.4,465.7
30/09/1985,323.4,393,76238,236.9,442.7,752.4,3894,951.3,323.4,0.2,1177.5,"3,62,847.6",1186.1,8686.5,0,0,"2,92,537.3",393,0,323.4,815.3,951.3,442.7,467.6
31/10/1985,325.8,371.3,69937.3,229.2,445.5,706.2,3902.6,986.3,325.8,0.2,1190.6,"3,64,870.9",1195.6,8524,0,0,"2,88,404.4",371.3,0,325.8,848.2,986.3,445.5,464
29/11/1985,325.3,363.8,66321.5,225.8,447.6,692.4,3903.3,1036.3,325.3,0.2,1186,"3,63,746.5",1189.8,8421.2,0,0,"2,90,595.9",363.8,0,325.3,862.9,1036.3,447.6,479.6
31/12/1985,321.9,351.1,65137.1,222.7,447.7,675.4,3871.6,1037.7,321.9,0.2,1173.2,"3,64,589.2",1190.8,8511,0,0,"2,91,987.3",351.1,0,321.9,862.3,1037.7,447.7,471.3
31/01/1986,345.4,366.3,68952.3,242.6,484.8,712.5,4214.4,1111.3,345.4,0.2,1256.9,"3,87,945.2",1264.7,9080.9,0,0,"3,09,081.2",366.3,0,345.4,810.6,1111.3,484.8,492.7
28/02/1986,338.9,343.8,62661.3,237.1,476.2,662.5,4175.8,1077,338.9,0.2,1239.7,"3,78,815.4",1247.2,8804.5,0,0,"2,98,799.9",343.8,0,338.9,705.7,1077,476.2,485
31/03/1986,345.7,341.1,61657.3,235.5,483.3,659,4210.4,1106.6,345.7,0.2,1260.7,"3,86,365.4",1266.9,8956.3,0,0,"3,04,753.4",341.1,0,345.7,700,1106.6,483.3,487.3
30/04/1986,340.4,339.4,59497.2,227.2,471.8,646.3,4199.6,1083,340.4,0.2,1239.9,"3,80,481.7",1247.7,8844,0,0,"2,97,270.7",339.4,0,340.4,695.9,1083,471.8,469.9
30/05/1986,342.4,335.8,57222.9,225.3,471.2,634.9,4253.5,1095.7,342.4,0.2,1251,"3,87,298.9",1258.4,8915.4,0,0,"3,02,984.6",335.8,0,342.4,751.1,1095.7,471.2,471.7
30/06/1986,342.7,337.2,57408.8,227.1,476.2,630.6,4294.2,1093.1,342.7,0.2,1284.6,"3,83,027.6",1259.1,8906.6,0,0,"3,03,056.9",337.2,0,342.7,864.3,1093.1,476.2,496.1
31/07/1986,348.3,331.2,55284,230.8,480.9,608.4,4345.9,1230.6,348.3,0.2,1306.6,"3,93,396.2",1279.2,9043,0,0,"3,09,587.0",331.2,0,348.3,888.4,1230.6,480.9,553.1
29/08/1986,376.6,345.6,57969.8,253.2,522.1,624.9,4702.3,1391.2,376.6,0.3,1409.3,"4,24,185.5",1379.7,9691.9,0,0,"3,31,505.1",345.6,0,376.6,974.7,1391.2,522.1,612.8
30/09/1986,417.7,380.7,64511.3,284.1,578.3,689.2,5263.4,1538.4,417.7,0.3,1563.9,"5,89,924.0",1533.5,10811.5,0,0,"3,69,192.2",380.7,0,417.7,965.5,1538.4,578.3,671.3
31/10/1986,423.5,380,66302.8,296.8,589.2,696.3,5431.1,1579.7,423.5,0.3,1591,"6,95,200.5",1558.1,10986.7,0,0,"3,72,283.0",380,0,423.5,952.5,1579.7,589.2,664.6
28/11/1986,397.6,360.7,64897.3,279,552.9,672.2,5188.3,1483.5,397.6,0.3,1494.3,"6,57,206.0",1463.8,10352.2,0,0,"3,46,297.4",360.7,0,397.6,897.4,1483.5,552.9,617.9
31/12/1986,390.9,350.2,63390.3,272.4,539.1,651.1,5107.2,1447.9,390.9,0.3,1465,"6,45,073.6",1435.1,10191.6,0,0,"3,37,602.2",350.2,0,390.9,868.2,1447.9,539.1,592
30/01/1987,408.3,344.9,63274.2,270.9,556,638.8,5287.4,1513.2,408.3,0.3,1530.4,"6,65,819.6",1498.8,10473.2,0,0,"3,50,261.1",344.9,0,408.3,855.1,1513.2,556,617.2
27/02/1987,401.1,333.5,61508.4,262.5,535,617.4,5213.6,1483.5,401.1,0.3,1503.5,"6,55,655.4",1472.4,10260.1,0,0,"3,43,157.8",333.5,0,401.1,834.1,1483.5,535,600
31/03/1987,408.9,341.8,61792,256.8,538.3,628.2,5249.5,1511.7,408.9,0.3,1530.8,"6,70,158.7",1499.1,10457.2,0,0,"3,47,508.4",341.8,0,408.9,845.3,1511.7,538.3,593.7
30/04/1987,438.4,361.7,62481.3,268.6,578.3,654.4,5576.8,1621.3,438.4,0.3,1642,"7,20,696.8",1608.3,11152.4,0,0,"3,67,903.4",361.7,0,438.4,881.8,1621.3,578.3,615.3
29/05/1987,460.2,376.4,64698.6,276.2,617.2,677.1,5825.5,1716.4,460.2,0.4,1727.1,"7,61,194.5",1690.4,11708.9,0,0,"3,81,190.6",376.4,0,460.2,922.9,1716.4,617.2,644.6
30/06/1987,449.6,373.7,65025.1,276,602.5,678.5,5759.7,1678.5,449.6,0.4,1688.4,"7,42,814.4",1653.6,11451.7,0,0,"3,66,645.4",373.7,0,449.6,909.7,1678.5,602.5,627.4
31/07/1987,450.5,380,67661,280,597,691.7,5839.1,1677.8,450.5,0.4,1690.2,"7,42,752.8",1654.4,11653.2,0,0,"3,64,190.0",380,0,450.5,928,1677.8,597,636.1
31/08/1987,461.2,390.7,68025,288.6,610.8,709.1,6003.6,1717.2,461.2,0.4,1726.2,"7,56,045.8",1690.7,11932.1,0,0,"3,71,953.6",390.7,0,461.2,956,1717.2,610.8,651.2
30/09/1987,460.4,379.8,65895.2,279.7,605.2,691.1,5946.9,1716.5,460.4,0.4,1726,"7,57,681.4",1690.3,11677.1,0,0,"3,71,170.6",379.8,0,460.4,940,1716.5,605.2,632.6
30/10/1987,465.4,381,66560.2,280,608.2,694.2,6027.9,1723.5,465.4,0.4,1742.3,"7,65,455.5",1706.8,11800,0,0,"3,73,024.5",381,0,465.4,951.4,1723.5,608.2,651.5
30/11/1987,467.6,361.2,63195.8,263.1,614.6,645.1,6028.1,1725.7,467.6,0.4,1749.8,"7,67,422.7",1714.3,11751.3,0,0,"3,72,180.1",361.2,0,467.6,922.1,1725.7,614.6,680
31/12/1987,486.2,366.6,62557,266.6,636.2,648.1,6263.6,1795.9,486.2,0.5,1824,"7,98,419.2",1786.8,12152.6,0,0,"3,86,278.8",366.6,0,486.2,949.7,1795.9,636.2,685.1
29/01/1988,476.6,362.3,60967.1,264.8,612.9,642.9,6205,1792.2,476.6,0.5,1788.3,"7,98,502.8",1751.6,12008,0,0,"3,77,095.9",362.3,0,476.6,941.4,1792.2,612.9,670.3
29/02/1988,442.1,344.4,57173.3,251.5,561.3,615.9,5745.4,1657.2,442.1,0.5,1659.2,"7,36,847.1",1624.9,11138.1,0,0,"3,42,089.9",344.4,0,442.1,907.9,1657.2,561.3,620.2
31/03/1988,443.6,341.9,56195.2,242,552.2,612.9,5730.3,1628.5,443.6,0.5,1657.5,"7,29,744.8",1623.2,10982,0,0,"3,32,663.5",341.9,0,443.6,941.9,1628.5,552.2,603
29/04/1988,451.6,346.9,56458.2,240.5,558.1,625.3,5929.5,1680,451.6,0.6,1694.5,"7,55,218.0",1659.4,11375.8,0,0,"3,35,159.9",346.9,0,451.6,967.7,1680,558.1,603.3
31/05/1988,451.1,350.8,56240.2,241.3,557.8,636.4,5971.2,1679.9,451.1,0.6,1690.8,"7,55,721.9",1655.7,11261.2,0,0,"3,31,962.8",350.8,0,451.1,997.1,1679.9,557.8,579.2
30/06/1988,451.3,363.8,57463.7,254,549,659.4,6214.3,1699.5,451.3,0.6,1694.2,"7,64,845.3",1659.2,11347,0,0,"3,30,150.6",363.8,0,451.3,1025.4,1699.5,549,559.6
29/07/1988,437.6,370.3,58234.1,256.8,528.5,670.7,6145.9,1619.6,437.6,0.6,1641.4,"7,39,470.0",1607.3,11124.5,0,0,"3,17,582.5",370.3,0,437.6,1046.8,1619.6,528.5,547.4
31/08/1988,431.3,373.3,57697.7,254,527.6,683.3,6127.6,1607.1,431.3,0.6,1619.2,"7,35,545.2",1585.8,10999.5,0,0,"3,12,040.3",373.3,0,431.3,1059.2,1607.1,527.6,535.9
30/09/1988,413.5,355.3,55599.9,245.4,507.6,651.7,5955,1539.3,413.5,0.7,1551.1,"7,04,906.4",1519,10547.2,0,0,"2,98,034.7",355.3,0,413.5,1014.7,1539.3,507.6,521.8
31/10/1988,406.8,340.3,52301.7,234.1,489.6,624.7,5945.8,1501.5,406.8,0.7,1522.7,"6,92,661.2",1491.8,10252.9,0,0,"2,87,653.2",340.3,0,406.8,1001.4,1501.5,489.6,501.8
30/11/1988,420.2,337.5,51723.1,232.1,511.6,615.8,6256.7,1556.7,420.2,0.7,1573.9,"7,18,908.2",1541,10538.6,0,0,"2,90,854.3",337.5,0,420.2,1005.7,1556.7,511.6,493.6
30/12/1988,419.1,336.6,51728,229,501.7,619.2,6273,1566.5,419.1,0.8,1573.9,"7,28,568.5",1541,10513.6,0,980,"2,87,570.8",336.6,0,419.1,982,1566.5,501.7,487.2
31/01/1989,404,337.6,51523.5,227.8,482,632,6095.1,1518.5,404,0.8,1519.5,"7,05,056.4",1487.7,10218.1,0,952.9,"2,76,650.4",337.6,0,404,965.6,1518.5,482,464.9
28/02/1989,387.5,326.1,49528.8,220.9,461.2,610.4,5892.9,1449.9,387.5,0.7,1454.7,"6,77,941.1",1424.2,9811.5,0,918.3,"2,62,920.2",326.1,0,387.5,953.5,1449.9,461.2,454.2
31/03/1989,390.2,331.2,50814.8,227.7,466.1,626.9,6010.9,1462.3,390.2,0.8,1463.3,"6,88,474.7",1432.8,9911.3,0,945.7,"2,62,630.1",331.2,0,390.2,989.6,1462.3,466.1,478.1
28/04/1989,384.4,326.1,50741.1,226,456.9,632.8,6013.3,1427.9,384.4,0.8,1442.1,"6,74,630.6",1412.3,9782.2,0,949.9,"2,56,421.1",326.1,0,384.4,979.2,1427.9,456.9,478.2
31/05/1989,371.1,327.5,51266,227.9,443.3,642.9,5993.6,1404,371.1,0.8,1395.9,"6,65,771.3",1366.9,9537,0,947.5,"2,48,237.2",327.5,0,371.1,994.1,1404,443.3,481.4
30/06/1989,367.6,330.4,52876.2,236.7,440.3,627.1,5996.8,1379.2,367.6,0.8,1377.2,"6,55,350.3",1348.7,9498.8,0,945.8,"2,45,201.1",330.4,0,367.6,1023,1379.2,440.3,486.6
